"Artist","Title","Rank","Playcount"
"Ani DiFranco","So What","104","36"
"Griffin House","No More Crazy Love Songs","105","36"
"Travis Matte","Booty call","106","36"
"Miley Cyrus","See You Again","107","36"
"Klaxons","Golden Skans","108","35"
"Crystal Castles","Untrust Us","109","35"
"Joe Purdy","New York","110","35"
"Black Kids","I'm Not Gonna Teach Your Boyfriend How to Dance With You","111","35"
"Lightspeed Champion","Midnight Surprise","112","35"
"Amos Lee","Seen It All Before","113","34"
"Arctic Monkeys","Love Machine","114","34"
"Amy Winehouse","Back to Black","115","34"
"You Say Party! We Say Die!","Monster","116","34"
"Shout Out Louds","Normandie","117","34"
"Bastille","Overjoyed","118","34"
"Metric","On the Sly","119","33"
"Ani DiFranco","Everest","120","33"
"Citizen Cope","Penitentiary","121","33"
"Paolo Nutini","Alloway Grove","122","33"
"The Dykeenies","Clean Up Your Eyes","123","33"
"Adele","Cold Shoulder","124","33"
"Vampire Weekend","M79","125","33"
"Ida Maria","I Like You So Much Better When You're Naked","126","33"
"Scary Kids Scaring Kids","Notorious Thugs","127","33"
"The Killers","Spaceman","128","33"
"Paloma Faith","Do You Want the Truth or Something Beautiful?","129","33"
"Joe Purdy","Easier","130","32"
"Travis Matte","barbeque and drink a few","131","32"
"Joe Purdy","The Sun","132","32"
"William Fitzsimmons","You Still Hurt Me","133","32"
"Noisettes","Never Forget You","134","32"
"Bastille","Oblivion","135","32"
"Nizlopi","JCB","136","31"
"Get Set Go","I Hate Everyone","137","31"
"The Kooks","Naive","138","31"
"Travis Matte","Kaplan Mix","139","31"
"Jason Mraz","I'm Yours (From the Casa Nova Sessions) [Bonus Track]","140","31"
"Bastille","Icarus","141","31"
"Bastille","These Streets","142","31"
"Bastille","Bad Blood","143","31"
"Bastille","Weight of Living, Pt. II","144","31"
"Eva Cassidy","Songbird","145","30"
"David Gray","Say Hello Wave Goodbye","146","30"
"Janet Jackson","Again","147","30"
"Joseph Arthur","In The Sun","148","30"
"Panic! at the Disco","I Write Sins Not Tragedies","149","30"
"Dixie Chicks","Lubbock or Leave It","150","30"
"Sam Sparro","Black & Gold","151","30"
"Glasvegas","It's My Own Cheating Heart That Makes Me Cry","152","30"
"William Fitzsimmons","We Feel Alone","153","30"
"William Fitzsimmons","They'll Never Take the Good Years","154","30"
"Cady Groves","Love Actually","155","30"
"Eva Cassidy","Nightbird","156","29"
"Ryan Adams","Hotel Chelsea Nights","157","29"
"JoJo","Leave (Get Out)","158","29"
"Amy Winehouse","Tears Dry on Their Own","159","29"
"Megan Jacobs","Backdrop","160","29"
"The Pigeon Detectives","This Is An Emergency","161","29"
"Jason Mraz","If It Kills Me (From the Casa Nova Sessions) [Bonus Track]","162","29"
"Alexandra Burke","Hallelujah","163","29"
"Paloma Faith","Stone Cold Sober","164","29"
"Blue October","Breakfast After Ten","165","28"
"The Kooks","Always Where I Need to Be","166","28"
"Fall Out Boy","I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me & You)","167","28"
"Get Cape. Wear Cape. Fly","Find The Time","168","28"
"A Balladeer","Mary Had A Secret","169","28"
"Paloma Faith","Broken Doll","170","28"
"Lil' Wayne","Lollipop","171","28"
"Jason Mraz","Live High (From an Avocado Salad Session) [Bonus Track]","172","28"
"Novastar","Because","173","28"
"Paloma Faith","New York","174","28"
"Paloma Faith","Upside Down","175","28"
"Bastille","Daniel in the Den","176","28"
"Nizlopi","Call it Up","177","27"
"Wayne Toups","A Secret Love","178","27"
"Ani DiFranco","Hypnotized","179","27"
"MGMT","Kids","180","27"
"Dashboard Confessional","Don't Wait","181","27"
"The Nickel Slots","She Said","182","27"
"The Wombats","Backfire At The Disco","183","27"
"Friendly Fires","Photobooth","184","27"
"Kings of Leon","On Call","185","27"
"Belleruche","Minor Swing","186","27"
"The Coral","Put the Sun Back","187","27"
"Adele","Chasing Pavements","188","27"
"Ladyhawke","Paris Is Burning","189","27"
"Metro Station","Shake It","190","27"
"Jason Mraz","If It Kills Me","191","27"
"William Fitzsimmons","Find Me To Forgive","192","27"
"Bastille","Laura Palmer","193","27"
"Ani DiFranco","Independence Day","194","26"
"Paramore","Hallelujah","195","26"
"Corinne Bailey Rae","Like a Star","196","26"
"The Nickel Slots","Hell Of A Whole Lot Better","197","26"
"The Nickel Slots","Better Than Lonely","198","26"
"Emery","All I Want (Toad the Wet Sprocket)","199","26"
"Missy Higgins","Where I Stood","200","26"
"The Subways","Shake! Shake!","201","26"
"Hot Chip","Ready for the Floor","202","26"
"Megan Jacobs","New Orleans","203","26"
"Paloma Faith","Smoke & Mirrors","204","26"
"Paloma Faith","Sexy Chick","205","26"
"Morgan Page","Believe","206","26"
"David Gray","This Years Love","207","25"
"Nizlopi","Faith","208","25"
"Nizlopi","Sing Around It","209","25"
"Wayne Toups","Johnnie Can't Dance","210","25"
"The Nickel Slots","Steppin' Out","211","25"
"The Nickel Slots","Sorry","212","25"
"Scouting for Girls","Heartbeat","213","25"
"Paramore","Misery Business","214","25"
"Jason Mraz","Make It Mine (From the Casa Nova Sessions) [Bonus Track]","215","25"
"Jack's Mannequin","The Resolution","216","25"
"Florence + the Machine","Rabbit Heart (Raise It Up)","217","25"
"Mac Miller","Knock Knock","218","25"
"Sam Airey","The Unlocking","219","25"
"Bastille","Get Home","220","25"
"Sam Airey","The Window","221","25"
"Bastille","Weight of Living, Pt. I","222","25"
"The Killers","Mr. Brightside","223","24"
"Hard-Fi","Hard to Beat","224","24"
"The Dykeenies","New Ideas","225","24"
"Travis Matte","Summer Of 69","226","24"
"The Wombats","Lost In The Post","227","24"
"Justin Timberlake","SexyBack","228","24"
"Fall Out Boy","The Take Over, The Break's Over","229","24"
"Ben's Brother","Let Me Out","230","24"
"Paramore","CrushCrushCrush","231","24"
"Flobots","Anne Braden","232","24"
"Infadels","Free Things for Poor People","233","24"
"The King Blues","I Got Love","234","24"
"Morgan Page","Fight for You","235","24"
"blink-182","All the Small Things","236","23"
"Ryan Adams","La Cienga Just Smiled","237","23"
"Ani DiFranco","You Had Time","238","23"
"Snow Patrol","Run","239","23"
"The Killers","Under the Gun","240","23"
"Citizen Cope","D'Artagnan's Theme","241","23"
"*NSYNC","This I Promise You","242","23"
"Rachael Yamagata","Reason Why","243","23"
"Keane","With or Without You","244","23"
"Fall Out Boy","Dance, Dance","245","23"
"Brazil","Wrapped Around Your Finger (The Police)","246","23"
"dbClifford","Simple Things","247","23"
"Dixie Chicks","The Long Way Around","248","23"
"Hit the Lights","Hey Jealousy (Gin Blossoms)","249","23"
"Fall Out Boy","Bang the Doldrums","250","23"
"Arctic Monkeys","Fluorescent Adolescent","251","23"
"Adele","Best for Last","252","23"
"Arsenal","Lotuk","253","23"
"Death Cab for Cutie","Grapevine Fires","254","23"
"Santigold","L.E.S. Artistes","255","23"
"William Fitzsimmons","Even Now","256","23"
"Mit Logarhythms","Here (In Your Arms)","257","23"
"Morgan Page","Strange Condition","258","23"
"Imagine Dragons","It's Time","259","23"
"David Gray","My Oh My","260","22"
"David Gray","Nightblindness","261","22"
"David Gray","Sail Away","262","22"
"Showoff","Borderline","263","22"
"blink-182","What's My Age Again?","264","22"
"Jason Mraz","You And I Both","265","22"
"The Shins","New Slang","266","22"
"Citizen Cope","My Way Home","267","22"
"Wayne Toups","Two Step Mamou","268","22"
"The Nickel Slots","Hollywood","269","22"
"Panic! at the Disco","Camisado","270","22"
"Youth Group","Forever Young","271","22"
"Matt Wertz","5:19","272","22"
"Epo-555","Hyperschlieb","273","22"
"Amy Winehouse","Wake Up Alone","274","22"
"Citizen Cope","Brother Lee","275","22"
"Amy Winehouse","Some Unholy War","276","22"
"Ladyhawke","Back of the Van","277","22"
"Fall Out Boy","Hum Hallelujah","278","22"
"The Courteeners","How Come","279","22"
"Foals","Olympic Airways","280","22"
"Flobots","We Are Winning","281","22"
"Duffy","Mercy","282","22"
"Brand New","(Fork and Knife)","283","22"
"Goldfrapp","A&E","284","22"
"Kaiser Chiefs","Never Miss a Beat","285","22"
"The Ting Tings","Shut Up and Let Me Go","286","22"
"Morgan Page","Back to Life","287","22"
"Scouting for Girls","A Million Love Songs","288","22"
"Sam Airey","To All The Pieces Of The Puzzle","289","22"
"Icona Pop","I Love It (feat. Charli XCX)","290","22"
"David Gray","Please Forgive Me","291","21"
"David Gray","Silver Lining","292","21"
"Rufus Wainwright","Hallelujah","293","21"
"*NSYNC","It's Gonna Be Me","294","21"
"Citizen Cope","Deep","295","21"
"Nizlopi","Long Distance","296","21"
"Nizlopi","Worry","297","21"
"Damien Rice","9 Crimes","298","21"
"Bushwick Bill","Take Em' Off","299","21"
"Nizlopi","JCB Song","300","21"
"Adele","My Same","301","21"
"The Nickel Slots","Louise","302","21"
"Snow Patrol","You're All I Have","303","21"
"Dixie Chicks","Not Ready To Make Nice","304","21"
"I Was a Cub Scout","Pink Squares","305","21"
"The Dykeenies","Stitches","306","21"
"The Dykeenies","Pick You Up","307","21"
"A Fine Frenzy","Almost Lover","308","21"
"Cut Copy","Lights and Music","309","21"
"Voicst","Everyday I Work on the Road","310","21"
"Adele","Make You Feel My Love","311","21"
"Florence + the Machine","Drumming Song","312","21"
"Boy","Little Numbers","313","21"
"Sam Airey","Endless Sea","314","21"
"Sam Airey","The Blackout","315","21"
"Bastille","Things We Lost in the Fire","316","21"
"Sam Airey","Floodgates","317","21"
"Ryan Keen","Orelia","318","21"
"Citizens!","Caroline","319","21"
"Ryan Keen","In My Mind","320","21"
"Passion Pit","Take a Walk","321","21"
"Maroon 5","Payphone","322","21"
"David Gray","Babylon","323","20"
"David Gray","We're Not Right","324","20"
"Ani DiFranco","Providence","325","20"
"Citizen Cope","Fame","326","20"
"Celine Dion","Think Twice","327","20"
"Dashboard Confessional","Vindicated","328","20"
"Hot Chip","Over and Over","329","20"
"Royksopp","What Else Is There?","330","20"
"Emery","Holding Out For A Hero (Bonnie Taylor)","331","20"
"The Nickel Slots","Breathe, Valentine","332","20"
"The Nickel Slots","Amnesia Buzz","333","20"
"The Nickel Slots","For A Little While","334","20"
"Dixie Chicks","Easy Silence","335","20"
"The Killers","When You Were Young","336","20"
"Paramore","Miracle","337","20"
"Fall Out Boy","The Carpal Tunnel of Love","338","20"
"Norah Jones","Thinking About You","339","20"
"The Cribs","Men's Needs","340","20"
"The Futureheads","Beginning Of The Twist","341","20"
"Adele","First Love","342","20"
"The Submarines","Swimming Pool","343","20"
"Florence + the Machine","Kiss with a Fist","344","20"
"Blue October","Picking Up Pieces","345","20"
"Florence + the Machine","I'm Not Calling You a Liar","346","20"
"The Naked and Famous","Young Blood","347","20"
"Asaf Avidan & The Mojos","One Day / Reckoning Song (Wankelmut Remix) - Radio Edit","348","20"
"Queen","Under Pressure","349","19"
"Royksopp","Remind Me","350","19"
"Ani DiFranco","Pulse","351","19"
"Jason Mraz","Unfold","352","19"
"David Gray","Be Mine","353","19"
"*NSYNC","Just Got Paid","354","19"
"Citizen Cope","Hurricane Waters","355","19"
"Gabriel Mann","Lighted Up","356","19"
"Fall Out Boy","Sugar, We're Goin Down","357","19"
"Snow Patrol","Chasing Cars","358","19"
"Boy Kill Boy","Suzie","359","19"
"Halifax","Straight Up (Paula Abdul)","360","19"
"Snow Patrol","Hands Open","361","19"
"Gym Class Heroes","Under The Bridge (Red Hot Chili Peppers)","362","19"
"Anberlin","Enjoy the Silence (Depeche Mode)","363","19"
"Guillemots","Annie, Let's Not Wait","364","19"
"Joe Purdy","San Jose","365","19"
"Hot IQs","Retromuff","366","19"
"Hot IQs","Duck and Cover","367","19"
"Justice","DVNO","368","19"
"Paramore","That's What You Get","369","19"
"Paramore","We Are Broken","370","19"
"David Gray","You're The World To Me","371","19"
"The Kills","Tape Song","372","19"
"The Killers","Runaways","373","19"
"M83","Graveyard Girl","374","19"
"Jason Mraz","Only Human (From the Casa Nova Sessions) [Bonus Track]","375","19"
"Florence + the Machine","Cosmic Love","376","19"
"Owl City","Fireflies","377","19"
"The Lumineers","Ho Hey","378","19"
"Bastille","Sleepsong","379","19"
"Bastille","Durban Skies","380","19"
"Bastille","Haunt (demo)","381","19"
"Bastille","Poet","382","19"
"David Gray","White Ladder","383","18"
"Dave Matthews Band","Grey Street","384","18"
"Student Rick","Heaven Is a Place On Earth","385","18"
"Citizen Cope","Let The Drummer Kick","386","18"
"Citizen Cope","Mistaken I.D.","387","18"
"Citizen Cope","Appetite (For Lightin' Dynamite)","388","18"
"The Innocence Mission","Happy, The End","389","18"
"*NSYNC","It Makes Me Ill","390","18"
"*NSYNC","No Strings Attached","391","18"
"Damien Rice","Rootless Tree","392","18"
"Psapp","Cosy In The Rocket","393","18"
"Citizen Cope","Every Waking Moment","394","18"
"blink-182","Another Girl Another Planet","395","18"
"The Nickel Slots","Pages","396","18"
"The Nickel Slots","Lucky Stars","397","18"
"The Streets","Never Went to Church","398","18"
"Dixie Chicks","Everybody Knows","399","18"
"James Morrison","You Give Me Something","400","18"
"The Automatic","Gold Digger","401","18"
"Citizen Cope","Awe","402","18"
"Citizen Cope","107 Degrees","403","18"
"Amy Winehouse","He Can Only Hold Her","404","18"
"Fall Out Boy","Golden","405","18"
"Fall Out Boy","Don't You Know Who I Think I Am?","406","18"
"Fall Out Boy","The (After) Life of the Party","407","18"
"Flobots","Rise","408","18"
"The Courteeners","Kings Of The New Road","409","18"
"Mariah Carey","Touch My Body","410","18"
"Morgan Page","Call My Name (feat. Tyler James)","411","18"
"Panic! at the Disco","That Green Gentleman (Things Have Changed)","412","18"
"Plies","Bust it Baby Pt. II","413","18"
"Florence + the Machine","Girl with One Eye","414","18"
"Bastille","Laughter Lines","415","18"
"Bastille","Pompeii","416","18"
"Jana Kramer","Why Ya Wanna","417","18"
"Bastille","Of the Night","418","18"
"Royksopp","Eple","419","17"
"Fisher","Breakable","420","17"
"Janet Jackson","If","421","17"
"TLC","I Miss You So Much","422","17"
"Citizen Cope","Intro","423","17"
"Citizen Cope","Theresa Prelude","424","17"
"*NSYNC","Digital Get Down","425","17"
"Marry Me Jane","Who's Leaving Who","426","17"
"Nizlopi","Love Rage On","427","17"
"Midtown","Your Love (The Outfield)","428","17"
"Angels & Airwaves","The Adventure","429","17"
"Dixie Chicks","Bitter End","430","17"
"Mika","Grace Kelly","431","17"
"The Killing Moon","You Outta Know (Alanis Morissette)","432","17"
"MAE","March Of The Pigs (Nine Inch Nails)","433","17"
"Nizlopi","Glastonbury","434","17"
"The Dykeenies","Feels Like Sleep","435","17"
"Hot IQs","Nightstand","436","17"
"The Courteeners","Fallowfield Hillbilly","437","17"
"Natasha Bedingfield","Chasing Cars","438","17"
"Paramore","Let the Flames Begin","439","17"
"Adele","Crazy for You","440","17"
"The Courteeners","What Took You So Long?","441","17"
"The Dykeenies","Sounds of the City","442","17"
"Bloc Party","Flux","443","17"
"Adele","Right as Rain","444","17"
"The Courteeners","Yesterday, Today & Probably Tomorrow","445","17"
"Ne-Yo","Closer","446","17"
"The Automatic","Secret Police","447","17"
"Beyonce","If I Were a Boy","448","17"
"Parachute","She Is Love","449","17"
"Infant Sorrow","Bangers, Beans and Mash","450","17"
"Infant Sorrow","The Clap","451","17"
"Gotye","Somebody That I Used to Know","452","17"
"The Vaccines","No Hope","453","17"
"Karima Francis","Wherever I Go","454","17"
"Sailor & I","Tough Love - Aril Brikha Remix","455","17"
"Only Seven Left","Dynamite","456","17"
"Sir Sly","Ghost","457","17"
"Bastille","The Silence","458","17"
"Beck","Lost Cause","459","16"
"TLC","Unpretty","460","16"
"Royksopp","So Easy","461","16"
"Dave Matthews Band","Busted Stuff","462","16"
"Ani DiFranco","Overlap","463","16"
"Christina Aguilera","Get Mine, Get Yours","464","16"
"*NSYNC","Bye Bye Bye","465","16"
"Citizen Cope","Theresa","466","16"
"Yo-Yo Ma","The Mission: Gabriel's Oboe","467","16"
"Sarah McLachlan","Elsewhere","468","16"
"Voxtrot","Missing Pieces","469","16"
"Birdy Nam Nam","Kind of Laid Back","470","16"
"Fall Out Boy","A Little Less Sixteen Candles, a Little More ""Touch Me""","471","16"
"Sugarcult","I Melt With You (Modern English)","472","16"
"The Kooks","She Moves in Her Own Way","473","16"
"Mat Kearney","Nothing Left To Lose","474","16"
"Josh Pyke","Middle Of The Hill","475","16"
"MC Lars","Internet Relationships","476","16"
"Snow Patrol","Open Your Eyes","477","16"
"The Kooks","Crazy","478","16"
"Cartel","Wonderwall (Oasis)","479","16"
"Copeland","Black Hole Sun (Soundgarden)","480","16"
"Katy Perry","Fingerprints","481","16"
"Citizen Cope","Left For Dead","482","16"
"Fall Out Boy","I've Got All This Ringing in My Ears and None on My Fingers","483","16"
"Fall Out Boy","You're Crashing, But You're No Wave","484","16"
"Jason Mraz","Live High","485","16"
"All Time Low","Umbrella","486","16"
"Fischerspooner","The Best Revenge","487","16"
"Jordin Sparks","One Step at a Time","488","16"
"Thao & The Get Down Stay Down","Big Kid Table","489","16"
"Katy Perry","Mannequin","490","16"
"Jason Mraz","The Dynamo of Volition (From an All Night Session) [Bonus Track]","491","16"
"Florence + the Machine","My Boy Builds Coffins","492","16"
"William Fitzsimmons","Goodmorning","493","16"
"Florence + the Machine","You've Got the Love","494","16"
"Morgan Page","Only Human","495","16"
"Infant Sorrow","I Am Jesus","496","16"
"alt-J","Breezeblocks","497","16"
"Foxes","Warrior","498","16"
"Third Eye Blind","Semi-Charmed Life","499","15"
"Something Corporate","I Woke Up In A Car","500","15"
"Royksopp","Sparks","501","15"
"Ani DiFranco","32 Flavors","502","15"
"Citizen Cope","Holdin' On","503","15"
"The Shins","Caring Is Creepy","504","15"
"Citizen Cope","Contact","505","15"
"Randy Travis","He Walked on Water","506","15"
"Nizlopi","Fine Story","507","15"
"Joe Purdy","This Town","508","15"
"Amos Lee","Keep It Loose, Keep It Tight","509","15"
"Panic! at the Disco","Time to Dance","510","15"
"Wayne Toups","Sweet Joline","511","15"
"Brandi Carlile","What Can I Say","512","15"
"Panic! at the Disco","I Constantly Thank God for Esteban","513","15"
"Rachael Yamagata","Jesus Was a Crossmaker","514","15"
"Snow Patrol","Headlights on Dark Roads","515","15"
"Snow Patrol","The Finish Line","516","15"
"Citizen Cope","Somehow","517","15"
"Citizen Cope","All Dressed Up","518","15"
"Citizen Cope","Friendly Fire","519","15"
"Citizen Cope","John Lennon","520","15"
"Amy Winehouse","You Know I'm No Good","521","15"
"Fall Out Boy","Fame-Infamy","522","15"
"The Courteeners","Not Nineteen Forever","523","15"
"Ida Maria","Keep Me Warm","524","15"
"Mystery Jets","Two Doors Down","525","15"
"Morgan Page","The Longest Road (feat. Lissie)","526","15"
"Nizlopi","Drop Your Guard","527","15"
"Panic! at the Disco","Northern Downpour","528","15"
"Death Cab for Cutie","Your New Twin Sized Bed","529","15"
"Jason Mraz","Butterfly (From the Casa Nova Sessions) [Bonus Track]","530","15"
"Franz Ferdinand","Ulysses","531","15"
"Owl City","Tidal Wave","532","15"
"Two Door Cinema Club","Handshake","533","15"
"Bastille","What Would You Do","534","15"
"Citizens!","Let's Go All The Way","535","15"
"Florida Georgia Line","Cruise","536","15"
"Carrie Underwood","Blown Away","537","15"
"Handsome Poets","Sky On Fire","538","15"
"Bastille","The Draw","539","15"
"Bleachers","I Wanna Get Better","540","15"
"TLC","No Scrubs","541","14"
"TLC","Dear Lie","542","14"
"Dave Matthews Band","Grace Is Gone","543","14"
"Sarah McLachlan","Hold On","544","14"
"Damien Rice","Volcano","545","14"
"Citizen Cope","200,000 (in counterfeit 50 dollar bills)","546","14"
"Citizen Cope","Salvation","547","14"
"Citizen Cope","Hands Of The Saints","548","14"
"TLC","My Life","549","14"
"The Killers","The Ballad of Michael Valentine","550","14"
"Randy Travis","Hard rock bottom of your heart","551","14"
"Sarah McLachlan","Ice Cream","552","14"
"Kubichek!","Nightjoy","553","14"
"Panic! at the Disco","Nails for Breakfast, Tacks for Snacks","554","14"
"Royksopp","Beautiful Day Without You","555","14"
"So They Say","Forever Young (Rod Stewart)","556","14"
"Joe Purdy","Why You","557","14"
"BEDlight for blueEYES","Jumper (Third Eye Blind)","558","14"
"Panic! at the Disco","But It's Better If You Do","559","14"
"Brooks & Dunn","Believe","560","14"
"MGMT","Time to Pretend","561","14"
"Joe Purdy","The City","562","14"
"The Strokes","You Only Live Once","563","14"
"David Ford","I Don't Care What You Call Me (live)","564","14"
"Saving Jane","Sleep On It","565","14"
"Joe Purdy","Look at You Now","566","14"
"Guillemots","Trains to Brazil","567","14"
"The Maccabees","Precious Time","568","14"
"Adele","Daydreamer","569","14"
"Plain White T's","Song #2 (Blur)","570","14"
"Scary Kids Scaring Kids","Losing My Religion (REM)","571","14"
"Late of the Pier","Heartbeat","572","14"
"Dixie Chicks","Favorite Year","573","14"
"The Dykeenies","Things You Cannot See","574","14"
"Joe Purdy","The B. Wright Shuffle","575","14"
"Paramore","Born for This","576","14"
"Paramore","Fences","577","14"
"Fleet Foxes","White Winter Hymnal","578","14"
"The Dykeenies","Lose Ourselves","579","14"
"Owl City","Hello Seattle","580","14"
"Flobots","There's A War Going On For Your Mind","581","14"
"Briton Malcom Bennett","Say Goodbye","582","14"
"The Courteeners","Bide Your Time (acoustic)","583","14"
"The Dykeenies","Symptoms","584","14"
"Leona Lewis","Bleeding Love","585","14"
"The Courteeners","Acrylic (Acoustic)","586","14"
"The Courteeners","What Took You So Long? (acoustic)","587","14"
"Jason Mraz","Love For A Child","588","14"
"The Courteeners","Not Nineteen Forever (Acoustic)","589","14"
"The Courteeners","Acrylic (Original Recording)","590","14"
"The Courteeners","Kimberley (Original Recording)","591","14"
"The Courteeners","An Ex Is An Ex For A Reason (Original Recording)","592","14"
"The Courteeners","Cavorting (Original Recording)","593","14"
"The Courteeners","No You Didn't, No You Don't (Original Recording)","594","14"
"Girl Talk","No Pause","595","14"
"Noisettes","When You Were Young","596","14"
"Morgan Page","Tell Me Why","597","14"
"Owl City","The Tip Of The Iceberg","598","14"
"Owl City","Vanilla Twilight","599","14"
"Paloma Faith","New York (radio edit)","600","14"
"Morgan Page","Return to Me","601","14"
"Morgan Page","Traces Remain","602","14"
"Infant Sorrow","Riding Daphne","603","14"
"Grouplove","Tongue Tied","604","14"
"CatCall","The World Is Ours","605","14"
"We Are Twin","The Way We Touch","606","14"
"Bastille","Tuning Out...","607","14"
"Bastille","Skulls","608","14"
"Fischerspooner","Natural Disaster","609","13"
"Coldplay","Warning Sign","610","13"
"Royksopp","In Space","611","13"
"Royksopp","Poor Leno","612","13"
"Sarah McLachlan","Plenty","613","13"
"TLC","Come On Down","614","13"
"TLC","I'm Good At Being Bad","615","13"
"Poison","Ride The Wind","616","13"
"Dave Matthews Band","Digging A Ditch","617","13"
"Dave Matthews Band","Big Eyed Fish","618","13"
"New Kids on the Block","Cover Girl","619","13"
"Dynamite Boy","I Want It That Way (Backstreet Boys)","620","13"
"The Innocence Mission","Everything's Different Now","621","13"
"Toby Lightman","Frightened","622","13"
"Jose Gonzalez","Hand on Your Heart","623","13"
"Marry Me Jane","Lousy Lullaby","624","13"
"Joe Purdy","Come Back Down Joe","625","13"
"Sarah McLachlan","Ice","626","13"
"Sarah McLachlan","Mary","627","13"
